"","date","stockID","factorscore"
"307",2015-11-09,"EQ000920",-10.6751533089374
"308",2015-11-09,"EQ000923",-8.51187508779095
"309",2015-11-09,"EQ000925",-5.00109038934762
"310",2015-11-09,"EQ000926",-1.45686087916539
"311",2015-11-09,"EQ000929",-3.03435818090813
"312",2015-11-09,"EQ000930",-7.86574914296127
"313",2015-11-09,"EQ000931",-10.4557300888394
"314",2015-11-09,"EQ000932",-1.04682845730689
"315",2015-11-09,"EQ000933",-1.47244543643903
"316",2015-11-09,"EQ000935",-2.0413275024016
"317",2015-11-09,"EQ000936",-3.95357620238254
"318",2015-11-09,"EQ000937",-1.07406931108331
"319",2015-11-09,"EQ000938",-11.9174991699301
"320",2015-11-09,"EQ000939",-2.74012235747585
"321",2015-11-09,"EQ000948",-4.59505740343899
"322",2015-11-09,"EQ000949",-2.21776609181578
"323",2015-11-09,"EQ000950",-2.52039465592119
"324",2015-11-09,"EQ000951",-1.51890136921249
"325",2015-11-09,"EQ000952",-8.76290497561644
"326",2015-11-09,"EQ000957",-3.4677105292688
"327",2015-11-09,"EQ000959",-0.895990585247317
"328",2015-11-09,"EQ000960",-2.86510976994867
"329",2015-11-09,"EQ000961",-1.87977606893287
"330",2015-11-09,"EQ000962",-3.03617976322828
"331",2015-11-09,"EQ000963",-11.7473241254841
"332",2015-11-09,"EQ000965",-1.54284244100537
"333",2015-11-09,"EQ000966",-2.64094711426456
"334",2015-11-09,"EQ000967",-6.67215273797671
"335",2015-11-09,"EQ000968",-4.6950705649988
"336",2015-11-09,"EQ000969",-3.59957910715013
"337",2015-11-09,"EQ000970",-4.31109749678324
"338",2015-11-09,"EQ000973",-4.44383147816452
"339",2015-11-09,"EQ000975",-3.79162689989907
"340",2015-11-09,"EQ000977",-11.5611407805394
"341",2015-11-09,"EQ000978",-2.78193390720897
"342",2015-11-09,"EQ000979",-3.41731354826879
"343",2015-11-09,"EQ000980",-1.597894165379
"344",2015-11-09,"EQ000982",-1.97693889248519
"345",2015-11-09,"EQ000983",-1.18642342170119
"346",2015-11-09,"EQ000985",-6.14980292618708
"347",2015-11-09,"EQ000987",-4.38762662333616
"348",2015-11-09,"EQ000988",-5.40219357960256
"349",2015-11-09,"EQ000989",-4.87780833681872
"350",2015-11-09,"EQ000990",-4.47923937690824
"351",2015-11-09,"EQ000993",-2.5734655966008
"352",2015-11-09,"EQ000996",-9.62300344173381
"353",2015-11-09,"EQ000997",-11.831736361566
"354",2015-11-09,"EQ000998",-11.1114275826432
"355",2015-11-09,"EQ000999",-3.83308308555208
"356",2015-11-09,"EQ001696",-5.21341419159237
"357",2015-11-09,"EQ002001",-2.51832216470976
"358",2015-11-09,"EQ002003",-3.55415212496356
"359",2015-11-09,"EQ002004",-3.76879493570982
"360",2015-11-09,"EQ002005",-1.73778551244326
"361",2015-11-09,"EQ002007",-7.12344029921913
"362",2015-11-09,"EQ002008",-6.19511068839616
"363",2015-11-09,"EQ002009",-4.22946668921529
"364",2015-11-09,"EQ002010",-6.18110659179794
"365",2015-11-09,"EQ002011",-3.00602297056683
"366",2015-11-09,"EQ002012",-3.26518565385288
"367",2015-11-09,"EQ002013",-4.56568138308203
"368",2015-11-09,"EQ002014",-2.8909556002393
"369",2015-11-09,"EQ002016",-6.31547668773258
"370",2015-11-09,"EQ002017",-7.44237608280928
"371",2015-11-09,"EQ002018",-19.9514497353822
"372",2015-11-09,"EQ002020",-5.53678028107163
"373",2015-11-09,"EQ002021",-5.12851288664778
"374",2015-11-09,"EQ002022",-9.06022751916088
"375",2015-11-09,"EQ002023",-4.4239398295434
"376",2015-11-09,"EQ002024",-4.27216729958387
"377",2015-11-09,"EQ002025",-6.26839266888936
"378",2015-11-09,"EQ002026",-2.39431194495541
"379",2015-11-09,"EQ002027",-23.7536564430136
"380",2015-11-09,"EQ002028",-2.53219947742491
"381",2015-11-09,"EQ002029",-1.99120882793248
"382",2015-11-09,"EQ002030",-29.5797399782119
"383",2015-11-09,"EQ002031",-3.2369776318792
"384",2015-11-09,"EQ002032",-3.87699492383924
"385",2015-11-09,"EQ002033",-3.10041561971811
"386",2015-11-09,"EQ002034",-6.06807090821588
"387",2015-11-09,"EQ002035",-3.85220459188627
"388",2015-11-09,"EQ002036",-8.43901487478032
"389",2015-11-09,"EQ002037",-4.75310317819208
"390",2015-11-09,"EQ002038",-6.19026837593052
"391",2015-11-09,"EQ002039",-2.64053811625862
"392",2015-11-09,"EQ002040",-5.73125213247227
"393",2015-11-09,"EQ002041",-7.31215243228279
"394",2015-11-09,"EQ002042",-2.73037878631571
"395",2015-11-09,"EQ002043",-9.10148878126626
"396",2015-11-09,"EQ002044",-13.0023854857959
"397",2015-11-09,"EQ002045",-4.91591245053754
"398",2015-11-09,"EQ002046",-2.87333839091247
"399",2015-11-09,"EQ002048",-2.01911667141718
"400",2015-11-09,"EQ002049",-8.56486340964945
"401",2015-11-09,"EQ002050",-4.04763929024208
"402",2015-11-09,"EQ002051",-3.70100971760851
"403",2015-11-09,"EQ002052",-11.3417192678336
"404",2015-11-09,"EQ002053",-4.0325617087453
"405",2015-11-09,"EQ002054",-3.04983182452648
"406",2015-11-09,"EQ002055",-8.85437261611329
"407",2015-11-09,"EQ002056",-2.9357791060064
"408",2015-11-09,"EQ002057",-6.54409230706794
"409",2015-11-09,"EQ002058",-17.5210819973373
"410",2015-11-09,"EQ002059",-5.49893271448601
"411",2015-11-09,"EQ002060",-2.16975013815632
"412",2015-11-09,"EQ002061",-3.12365888024233
"413",2015-11-09,"EQ002062",-3.44067307177608
"414",2015-11-09,"EQ002063",-7.64756065391788
"415",2015-11-09,"EQ002064",-3.16543460806471
"416",2015-11-09,"EQ002065",-5.06573021429171
"417",2015-11-09,"EQ002066",-12.9300570439574
"418",2015-11-09,"EQ002067",-4.5851112083995
"419",2015-11-09,"EQ002068",-2.23438631788348
"420",2015-11-09,"EQ002069",-8.45247933957146
"421",2015-11-09,"EQ002070",-13.0862474041545
"422",2015-11-09,"EQ002071",-9.86213117399006
"423",2015-11-09,"EQ002073",-3.31723093136349
"424",2015-11-09,"EQ002074",-11.3970998451286
"425",2015-11-09,"EQ002076",-6.34695208283031
"426",2015-11-09,"EQ002077",-2.68870974223311
"427",2015-11-09,"EQ002078",-2.15970122932189
"428",2015-11-09,"EQ002079",-5.24093632835172
"429",2015-11-09,"EQ002080",-3.04487243737129
"430",2015-11-09,"EQ002081",-3.68255737351134
"431",2015-11-09,"EQ002082",-1.80747597852181
"432",2015-11-09,"EQ002083",-2.24082737436913
"433",2015-11-09,"EQ002084",-6.69109814022371
"434",2015-11-09,"EQ002085",-10.7072645000696
"435",2015-11-09,"EQ002086",-3.92313218405103
"436",2015-11-09,"EQ002087",-2.08323146986158
"437",2015-11-09,"EQ002088",-2.25390508346982
"438",2015-11-09,"EQ002089",-6.30683516584419
"439",2015-11-09,"EQ002090",-6.95409424487721
"440",2015-11-09,"EQ002091",-5.62107788510085
"441",2015-11-09,"EQ002092",-1.33319938125419
"442",2015-11-09,"EQ002093",-10.1553659326772
"443",2015-11-09,"EQ002094",-5.93326942637051
"444",2015-11-09,"EQ002095",-41.429760994979
"445",2015-11-09,"EQ002096",-3.49938311340745
"446",2015-11-09,"EQ002097",-3.04443201125898
"447",2015-11-09,"EQ002098",-5.38782499816188
"448",2015-11-09,"EQ002099",-4.84646145830362
"449",2015-11-09,"EQ002100",-4.60700976275573
"450",2015-11-09,"EQ002101",-3.0523661435633
"451",2015-11-09,"EQ002103",-3.3611776474814
"452",2015-11-09,"EQ002104",-11.0883099634883
"453",2015-11-09,"EQ002105",-7.54010864022923
"454",2015-11-09,"EQ002106",-2.96527838549075
"455",2015-11-09,"EQ002107",-19.6593721780852
"456",2015-11-09,"EQ002108",-6.95872110806701
"457",2015-11-09,"EQ002109",-2.86781617524921
"458",2015-11-09,"EQ002110",-1.80099861784171
"459",2015-11-09,"EQ002111",-6.20066507273055
"460",2015-11-09,"EQ002112",-8.01395422244445
"461",2015-11-09,"EQ002115",-5.94217990124566
"462",2015-11-09,"EQ002116",-8.13978843942978
"463",2015-11-09,"EQ002117",-9.71153493111239
"464",2015-11-09,"EQ002118",-5.23153503263281
"465",2015-11-09,"EQ002119",-6.67311903053493
"466",2015-11-09,"EQ002120",-5.34016122159164
"467",2015-11-09,"EQ002121",-5.95904633872901
"468",2015-11-09,"EQ002122",-2.0309980347429
"469",2015-11-09,"EQ002123",-4.3572304266997
"470",2015-11-09,"EQ002124",-7.55283473000991
"471",2015-11-09,"EQ002125",-9.19504688953067
"472",2015-11-09,"EQ002126",-2.99524419711664
"473",2015-11-09,"EQ002128",-2.01037908604451
"474",2015-11-09,"EQ002129",-4.75599796934236
"475",2015-11-09,"EQ002130",-8.09229556847931
"476",2015-11-09,"EQ002131",-8.1211899099557
"477",2015-11-09,"EQ002132",-2.6855992399944
"478",2015-11-09,"EQ002133",-1.94199837912443
"479",2015-11-09,"EQ002135",-4.13043053820202
"480",2015-11-09,"EQ002136",-6.62377360876095
"481",2015-11-09,"EQ002137",-10.5285109210404
"482",2015-11-09,"EQ002138",-4.37845408895443
"483",2015-11-09,"EQ002139",-5.74462957564531
"484",2015-11-09,"EQ002140",-4.67611080048187
"485",2015-11-09,"EQ002141",-17.0566703568088
"486",2015-11-09,"EQ002142",-1.61333146092074
"487",2015-11-09,"EQ002143",-23.4867001579649
"488",2015-11-09,"EQ002144",-2.76741034544283
"489",2015-11-09,"EQ002146",-2.39579873611717
"490",2015-11-09,"EQ002147",-5.80234779759001
"491",2015-11-09,"EQ002148",-4.5037298413877
"492",2015-11-09,"EQ002149",-4.78576667468381
"493",2015-11-09,"EQ002150",-3.57735036962329
"494",2015-11-09,"EQ002151",-5.91598416847711
"495",2015-11-09,"EQ002152",-6.70993446986647
"496",2015-11-09,"EQ002153",-19.45856605969
"497",2015-11-09,"EQ002154",-3.37351860745165
"498",2015-11-09,"EQ002155",-2.95928383090591
"499",2015-11-09,"EQ002156",-3.39967719870573
"500",2015-11-09,"EQ002157",-5.46794625883994
"501",2015-11-09,"EQ002158",-3.22962996992857
"502",2015-11-09,"EQ002159",-4.47151672332535
"503",2015-11-09,"EQ002161",-8.87008865323745
"504",2015-11-09,"EQ002165",-3.84911538077407
"505",2015-11-09,"EQ002166",-8.4449070334402
"506",2015-11-09,"EQ002167",-4.75987403433838
"507",2015-11-09,"EQ002168",-7.45505101103651
"508",2015-11-09,"EQ002169",-9.56569093615293
"509",2015-11-09,"EQ002170",-6.02056965291557
"510",2015-11-09,"EQ002171",-6.88557098425721
"511",2015-11-09,"EQ002172",-7.88859159037534
"512",2015-11-09,"EQ002173",-8.94147744851112
"513",2015-11-09,"EQ002174",-19.8963254807835
"514",2015-11-09,"EQ002175",-15.7121253886364
"515",2015-11-09,"EQ002176",-6.81455717864627
"516",2015-11-09,"EQ002177",-5.41737097566988
"517",2015-11-09,"EQ002178",-8.63375993396197
"518",2015-11-09,"EQ002179",-7.59598342919702
"519",2015-11-09,"EQ002180",-14.4257886464101
"520",2015-11-09,"EQ002181",-3.18190518191213
"521",2015-11-09,"EQ002182",-4.38965421165815
"522",2015-11-09,"EQ002183",-11.1267892390235
"523",2015-11-09,"EQ002184",-10.5329286541695
"524",2015-11-09,"EQ002185",-4.79515361570467
"525",2015-11-09,"EQ002186",-4.81440235100198
"526",2015-11-09,"EQ002187",-2.37603947842585
"527",2015-11-09,"EQ002188",-19.5449793931352
"528",2015-11-09,"EQ002189",-9.98632682228719
"529",2015-11-09,"EQ002190",-8.56775486818663
"530",2015-11-09,"EQ002191",-6.48994543229305
"531",2015-11-09,"EQ002193",-3.75346632390287
"532",2015-11-09,"EQ002194",-4.07379077525021
"533",2015-11-09,"EQ002195",-7.94124267180177
"534",2015-11-09,"EQ002196",-7.11624753720746
"535",2015-11-09,"EQ002197",-10.5091222670982
"536",2015-11-09,"EQ002198",-5.63076575040436
